MotherShip.UTCGregorian   MotherShip.motherVNB.X    MotherShip.motherVNB.Y    MotherShip.motherVNB.Z    MotherShip.motherVNB.VX   MotherShip.motherVNB.VY   MotherShip.motherVNB.VZ   
01 Jan 2028 21:07:12.000   1307.886908884716         0                         50396.01294162365         2.628943768488793         2.775557561562891e-17     3.469446951953614e-17     
01 Jan 2028 21:21:36.000   1277.076762766196         0                         50455.04756610277         2.63041781255679          0                         2.688821387764051e-16     
01 Jan 2028 21:36:00.000   1243.870454418433         0                         50512.6454937429          2.631908876658485         -4.163336342344337e-17    2.255140518769849e-17     
01 Jan 2028 21:50:24.000   1208.333170239914         0                         50568.69774153404         2.633414548019763         1.387778780781446e-17     1.335737076502141e-16     
01 Jan 2028 22:04:48.000   1170.534841580594         9.094947017729282e-13     50623.09818170682         2.634932383244437         0                         -1.335737076502141e-16    
01 Jan 2028 22:19:12.000   1130.550003045196         0                         50675.74379051114         2.63645991292511          -2.775557561562891e-17    -6.938893903907228e-18    
01 Jan 2028 22:33:36.000   1088.45766939112          0                         50726.53485846084         2.637994646276181         -2.775557561562891e-17    9.540979117872439e-17     
01 Jan 2028 22:48:00.000   1044.341196865726         0                         50775.37518107894         2.639534074201859         0                         -1.162264728904461e-16    
01 Jan 2028 23:02:24.000   998.2881262227082         0                         50822.17229892578         2.641075674693218         0                         -4.85722573273506e-17     
01 Jan 2028 23:16:48.000   950.3900451895713         0                         50866.83766747581         2.642616916204842         0                         -3.816391647148976e-17    
01 Jan 2028 23:31:12.000   900.7424161128645         -9.094947017729282e-13    50909.28688018131         2.644155262372931         0                         -3.816391647148976e-17    
01 Jan 2028 23:45:36.000   849.4444216842999         4.547473508864641e-13     50949.43983169345         2.645688175382984         0                         -1.387778780781446e-17    
02 Jan 2028 00:00:00.000   796.5987733929276         4.547473508864641e-13     50987.22092588209         2.64721312049892          -2.775557561562891e-17    -1.040834085586084e-17    
02 Jan 2028 00:14:24.000   742.31154958959           -1.364242052659392e-12    51022.55922571466         2.648727569232823         5.551115123125783e-17     0                         
02 Jan 2028 00:28:48.000   686.6919793479537         0                         51055.38864304686         2.650229003622892         2.775557561562891e-17     -1.734723475976807e-17    
02 Jan 2028 00:43:12.000   629.8522492434565         0                         51085.64808844936         2.65171491966865          0                         -1.040834085586084e-17    
02 Jan 2028 00:57:36.000   571.9072963352812         0                         51113.28161334689         2.653182830762232         2.775557561562891e-17     -3.642919299551295e-17    
02 Jan 2028 01:12:00.000   512.9745609107921         0                         51138.23857076466         2.654630271953145         0                         -2.775557561562891e-17    
02 Jan 2028 01:26:24.000   453.1737729033962         0                         51160.47372269574         2.656054802990333         5.551115123125783e-17     -1.006139616066548e-16    
02 Jan 2028 01:40:48.000   392.6266883898606         0                         51179.94738638768         2.65745401352473          0                         5.204170427930421e-18     
02 Jan 2028 01:55:12.000   331.4568297862749         0                         51196.62552170596         2.658825526210919         0                         5.724587470723463e-17     
02 Jan 2028 02:09:36.000   269.7892358191393         4.547473508864641e-13     51210.47982965459         2.660167001721045         0                         -4.683753385137379e-17    
02 Jan 2028 02:24:00.000   207.7501663638174         2.273736754432321e-13     51221.48784820662         2.661476144153978         -5.551115123125783e-17    9.367506770274758e-17     
02 Jan 2028 02:38:24.000   145.4668490455743         -2.273736754432321e-13    51229.63300823755         2.662750705846244         5.551115123125783e-17     -3.295974604355933e-17    
02 Jan 2028 02:52:48.000   83.06717630208908         2.273736754432321e-13     51234.90470219116         2.663988493867317         0                         -1.52655665885959e-16     
02 Jan 2028 03:07:12.000   20.67945440132996         4.547473508864641e-13     51237.29831580438         2.66518737562101          0                         1.994931997373328e-16     
02 Jan 2028 03:21:36.000   -41.56789214113293        -3.410605131648481e-13    51236.81527035278         2.666345285959613         5.551115123125783e-17     -2.315855840429037e-16    
02 Jan 2028 03:36:00.000   -103.5465585703356        1.13686837721616e-13      51233.46302707335         2.667460233083204         -5.551115123125783e-17    1.045170894276026e-16     
02 Jan 2028 03:50:24.000   -165.1286403171511        -3.694822225952521e-13    51227.25510053959         2.668530305451648         -5.551115123125783e-17    -9.931291899967221e-17    
02 Jan 2028 04:04:48.000   -226.1868492110021        3.339550858072471e-13     51218.2110412988          2.669553676777344         0                         -1.774838956358771e-16    
