MotherShip.UTCGregorian   MotherShip.MothershipCentralBodyICRF.X   MotherShip.MothershipCentralBodyICRF.Y   MotherShip.MothershipCentralBodyICRF.Z   MotherShip.MothershipCentralBodyICRF.VX   MotherShip.MothershipCentralBodyICRF.VY   MotherShip.MothershipCentralBodyICRF.VZ   
02 Jan 2028 03:50:24.000   199641.8769454956                        127699.897254169                         -26624.31203895807                       -6.876381747508869                        10.55709962164737                         -0.1880760035051052                       
02 Jan 2028 04:04:48.000   193494.278924942                         136684.7072454691                        -26758.95114463568                       -7.351763175855258                        10.23740257221708                         -0.1235246239240473                       
02 Jan 2028 04:19:12.000   186942.3326752186                        145383.8807014227                        -26837.67131116986                       -7.812206281710836                        9.896011960787375                         -0.05865635202856101                      
02 Jan 2028 04:33:36.000   179999.3730854988                        153778.9611133933                        -26860.2567948699                        -8.256724619606686                        9.533599270888057                         0.006394266138694427                      
02 Jan 2028 04:48:00.000   172679.5748121738                        161852.0920937061                        -26826.60849669576                       -8.684361095884068                        9.150882008290122                         0.07149181084763256                       
02 Jan 2028 05:02:24.000   164997.9259700775                        169586.0566569567                        -26736.74459984899                       -9.094190160255453                        8.748622565764272                         0.1365002612496609                        
02 Jan 2028 05:16:48.000   156970.1999461651                        176964.3154712915                        -26590.80096918344                       -9.485319964749499                        8.327626976817825                         0.2012832733423533                        
02 Jan 2028 05:31:12.000   148612.9253573418                        183971.0439860821                        -26389.03130885959                       -9.856894483976239                        7.888743557935809                         0.2657044628426259                        
02 Jan 2028 05:45:36.000   139943.3542041779                        190591.1683372259                        -26131.8070731461                        -10.20809559044369                        7.432861439209914                         0.3296276924376844                        
02 Jan 2028 06:00:00.000   130979.4282455444                        196810.3999356627                        -25819.61712756753                       -10.53814507847527                        6.960908983629178                         0.3929173628377081                        
02 Jan 2028 06:14:24.000   121739.7436547279                        202615.2686413527                        -25453.06715717912                       -10.84630663011998                        6.473852095727565                         0.4554387070102397                        
02 Jan 2028 06:28:48.000   112243.5140008926                        207993.1544296145                        -25032.87881949544                       -11.13188771632188                        5.972692420722007                         0.5170580869326358                        
02 Jan 2028 06:43:12.000   102510.5316205025                        212932.317453742                         -24559.88864010572                       -11.39424142652068                        5.45846543573936                          0.5776432921569841                        
02 Jan 2028 06:57:36.000   92561.12743902206                        217421.9264130592                        -24035.04664993286                       -11.63276821979611                        4.93223843521729                          0.6370638394398389                        
02 Jan 2028 07:12:00.000   82416.12932014465                        221452.0851356387                        -23459.4147631526                        -11.84691759064836                        4.395108413060495                         0.6951912726517318                        
02 Jan 2028 07:26:24.000   72096.81901049614                        225013.8572878242                        -22834.1648966372                        -12.03618964252318                        3.848199844652118                         0.7518994621441184                        
02 Jan 2028 07:40:48.000   61624.88776946068                        228099.2891244888                        -22160.57683080435                       -12.20013656225396                        3.292662372346454                         0.8070649027175643                        
02 Jan 2028 07:55:12.000   51022.39077019691                        230701.430200398                         -21440.03581440449                       -12.33836398869478                        2.729668398598703                         0.8605670093055817                        
02 Jan 2028 08:09:36.000   40311.70036745071                        232814.3519634604                        -20674.02991446853                       -12.45053226897165                        2.160410591428066                         0.9122884094609169                        
02 Jan 2028 08:24:00.000   29515.45832633972                        234433.1641566753                        -19864.14711633325                       -12.53635759597317                        1.586099307442652                         0.9621152317084603                        
02 Jan 2028 08:38:24.000   18656.52712774277                        235554.0289599895                        -19012.07217547297                       -12.59561302094709                        1.00795993818322                          1.009937388812006                         
02 Jan 2028 08:52:48.000   7757.940451860428                        236174.1728082299                        -18119.58322793245                       -12.62812933536115                        0.4272301860668968                        1.055648854987201                         
02 Jan 2028 09:07:12.000   -3157.147043704987                       236291.8958281875                        -17188.54816401005                       -12.6337958165249                         -0.1548427232865937                       1.099147936085864                         
02 Jan 2028 09:21:36.000   -14065.51052522659                       235906.5788413882                        -16220.92077177763                       -12.61256083185534                        -0.7370048850743576                       1.14033753177396                          
02 Jan 2028 09:36:00.000   -24943.90624403954                       235018.6878889203                        -15218.7366578877                        -12.56443229710156                        -1.317998607942657                        1.179125388728284                         
02 Jan 2028 09:50:24.000   -35769.12313389778                       233629.7762383819                        -14184.1089541018                        -12.48947798431806                        -1.896565347063353                        1.215424343885768                         
02 Jan 2028 10:04:48.000   -46518.03460168839                       231742.4838423133                        -13119.22381797433                       -12.38782567589561                        -2.471448669084385                        1.249152556794406                         
02 Jan 2028 10:19:12.000   -57167.6503880024                        229360.5342244506                        -12026.33573800325                       -12.25966316151587                        -3.041397240021945                        1.280233730135905                         
02 Jan 2028 10:33:36.000   -67695.16835260391                       226488.7287777066                        -10907.76265364885                       -12.10523807548863                        -3.605167826832904                        1.308597317517103                         
02 Jan 2028 10:48:00.000   -78078.02605509758                       223132.9384669065                        -9765.880901664495                       -11.92485757256127                        -4.161528303136175                        1.334178717660995                         
02 Jan 2028 11:02:24.000   -88293.95197939873                       219300.0929353833                        -8603.120000720024                       -11.71888784094142                        -4.709260649315368                        1.356919454167843                         
02 Jan 2028 11:16:48.000   -98321.01627016068                       214998.1670262218                        -7421.957287460566                       -11.48775345196056                        -5.247163937063014                        1.376767340061853                         
02 Jan 2028 11:31:12.000   -108137.6808362007                       210236.1647345424                        -6224.912416785955                       -11.23193654650195                        -5.774057288302349                        1.393676626390818                         
02 Jan 2028 11:45:36.000   -117722.8486804962                       205024.1006185412                        -5014.541741430759                       -10.95197585903636                        -6.288782798354596                        1.407608134202819                         
02 Jan 2028 12:00:00.000   -127055.9123182297                       199372.9787040949                        -3793.432584613562                       -10.64846558083508                        -6.790208413223146                        1.418529369286211                         
02 Jan 2028 12:14:24.000   -136116.8011415005                       193294.768926084                         -2564.197421073914                       -10.32205406465831                        -7.277230750906677                        1.426414619125747                         
02 Jan 2028 12:28:48.000   -144886.0276010036                       186802.3811607957                        -1329.467982590199                       -9.973442373948886                        -7.748777856781387                        1.431245031599317                         
02 Jan 2028 12:43:12.000   -153344.7320652008                       179909.6369088888                        -91.88930314779282                       -9.603382680281172                        -8.203811883259842                        1.433008675015103                         
02 Jan 2028 12:57:36.000   -161474.7262322903                       172631.2386999726                        1145.886279433966                        -9.212676513526146                        -8.641331684175745                        1.431700579166918                         
02 Jan 2028 13:12:00.000   -169258.5349700451                       164982.73729527                          2381.20514896512                         -8.802172869885084                        -9.060375314638168                        1.427322757167587                         
02 Jan 2028 13:26:24.000   -176679.4364595413                       156980.4967747331                        3611.418446868658                        -8.372766183608963                        -9.460022427454957                        1.419884207903724                         
02 Jan 2028 13:40:48.000   -183721.5005276203                       148641.6576017737                        4833.888102203608                        -7.925394168860187                        -9.839396557635812                        1.409400899040019                         
02 Jan 2028 13:55:12.000   -190369.6250674725                       139984.0977643728                        6045.992838054895                        -7.461035538775942                        -10.19766728694592                        1.39589573058793                          
02 Jan 2028 14:09:36.000   -196609.5704333782                       131026.3921017051                        7245.134138613939                        -6.980707609352308                        -10.53405228099914                        1.379398479139494                         
02 Jan 2028 14:24:00.000   -202427.9917199612                       121787.7699276209                        8428.742159336805                        -6.485463796294162                        -10.84781919193005                        1.359945722953179                         
